method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,105,10500,113.841,1137355,7735,980,1.5742,19.218,0.7259,-0.0414,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,106,10600,115.352,1147383,10968,940,1.5112,19.043,0.7243,-0.1546,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,107,10700,116.911,1156192,9758,949,1.5589,19.23,0.729,-0.0725,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,108,10800,118.361,1166411,11142,923,1.4499,19.185,0.7259,-0.0648,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,109,10900,119.793,1175837,10415,989,1.432,19.007,0.7263,-0.1483,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,110,11000,121.259,1183846,8900,891,1.4664,19.285,0.7302,-0.0581,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,111,11100,122.772,1191409,8609,1046,1.513,19.172,0.7271,-0.1009,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,112,11200,124.274,1200850,10400,959,1.5015,19.154,0.7311,-0.0735,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,113,11300,125.791,1208193,8270,927,1.5172,19.092,0.7274,-0.0813,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,114,11400,127.327,1215843,8600,950,1.5359,19.393,0.7336,-0.0602,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,115,11500,128.845,1223225,8397,1015,1.5181,19.208,0.7293,-0.1146,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
