method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,114,11400,215.267,1040433,6759,851,2.8029,19.471,0.7321,-0.1373,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,115,11500,218.069,1045835,6317,915,2.8012,19.351,0.729,-0.1523,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,116,11600,220.9,1051987,7064,912,2.8319,19.372,0.7309,-0.1402,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,117,11700,223.745,1056440,5235,782,2.8445,19.508,0.7339,-0.1501,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,118,11800,226.533,1062310,6812,942,2.7879,19.425,0.7308,-0.1387,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,119,11900,229.39,1067355,5941,896,2.8571,19.507,0.7364,-0.1422,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,120,12000,232.241,1072146,5559,768,2.8511,19.394,0.7344,-0.1742,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,121,12100,235.137,1077822,6615,939,2.8962,19.327,0.7344,-0.1578,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,122,12200,237.95,1083374,6439,887,2.8123,19.41,0.7372,-0.1395,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,123,12300,240.84,1087979,5334,729,2.8905,19.438,0.7369,-0.1441,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,124,12400,243.744,1092502,5378,855,2.9036,19.605,0.7415,-0.1439,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,125,12500,246.654,1097548,5882,836,2.9102,19.387,0.7387,-0.1712,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,126,12600,249.525,1102851,6141,838,2.8714,19.73,0.7431,-0.1423,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,127,12700,252.529,1106968,4961,844,3.0036,19.588,0.7407,-0.1786,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,128,12800,255.536,1110991,4814,791,3.0074,19.618,0.7439,-0.1533,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,129,12900,258.475,1115410,5271,852,2.9387,19.583,0.742,-0.1462,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,130,13000,261.628,1120832,6291,869,3.1536,19.543,0.7392,-0.1881,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,131,13100,264.702,1124240,4224,816,3.0739,19.658,0.7456,-0.1527,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
