method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,92,9200,90.941,1016902,10742,793,1.2948,19.0,0.7142,-0.0375,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,93,9300,92.211,1028230,12228,900,1.2699,19.047,0.7141,-0.0534,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,94,9400,93.503,1038251,10938,917,1.2926,19.018,0.7114,-0.1002,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,95,9500,94.804,1047959,10662,954,1.3009,19.042,0.7127,-0.0258,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,96,9600,96.132,1060294,13320,985,1.3274,19.021,0.7126,-0.1059,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,97,9700,97.444,1070867,11449,876,1.3128,18.984,0.7161,-0.0621,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,98,9800,98.765,1079928,9971,910,1.3206,19.094,0.7189,-0.0393,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,99,9900,100.06,1089357,10352,923,1.2953,19.071,0.7139,-0.1358,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,100,10000,101.428,1099729,11315,943,1.368,19.162,0.7216,-0.04,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,101,10100,102.772,1110055,11323,997,1.3433,18.992,0.7207,-0.0959,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,102,10200,104.092,1119587,10448,916,1.3201,19.148,0.7205,-0.0578,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,103,10300,105.471,1128543,9929,973,1.3793,19.246,0.7243,-0.0317,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
